CODIGO,UBICACIÓN,PRODUCTO,DESCRIPCIÓN,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO
S0001,AREA B,CABLE PATCH,"Cable de parcheo UTP Categoría 6, con plug modular en cada extremo - 6 m. - Rojo",PANDUIT,NK6PC20RDY,4,,,
S0002,AREA B,CABLE UTP,"CABLE UTP, CAT 5E UTP RJ45 TO RJ45, PATCH CORD CAT 5E/ CLASS D, COLOR ROJO",PANDUIT,NK5EPC20RDY,4,,,
S0003,AREA B,CABLE UTP,"Cable de parcheo UTP Categoría 5e, con plug modular en cada extremo - 1 m. - Azul",PANDUIT,NK5EPC3BUY,13,,,
S0004,AREA B,CABLE UTP,"CABLE UTP, CAT 5E UTP RJ45 TO RJ45, PATCH CORD CAT 5E/ CLASS D, COLOR BLANCO",PANDUIT,NK5EPC3Y,1,,,
S0005,,ROUTER,"MODEM ECHOLIFE HG824SWS-6T, GPON, TERMINAL SC/APC",HUAWEI,ECHOLIFEHG8245W5-6T,7,,,
S0006,AREA B,CINCHO,CINCHO / BRIDA PARA CABLES DE ACERO INOXIDABLE,OPTICTIMES,JJ-SST01,85,,,
S0007,AREA B,MUÑEQUERA,"MUÑEQUERA ANTIESTATICA, COLOR AZUL",CANMAX,19-280500,2,,,
S0008,AREA A,QUIDWAY,LAYER 3 ETHERNET SWITCH,HUAWEI,S3300,1,,,
S0009,,DISTRIBUIDOR DE FIBRA OPTICA,DISTRIBUIDOR DE FIBRA OPTICA 8002,LINKEDPRO,LPODF8002,0,,,
S0010,AREA A,JUMPER,"KIT 12 PIGTAILS SC/APC SM G657A2, 2 m.",LINKEDPRO,LPFOSMPIG12SCA,9,,,
S0011,AREA B,ADAPTADOR,ADAPTADOR DVI-I A VGA,STEREN,500-900,1,,,
S0012,AREA E,CIERRE,CIERRE DE EMPALME HORIZONTAL 96 FIBRAS SERIEL,FUSION GUARD,FCLO-P-HO-96,0,,,
S0013,,CIERRE,CIERRE DE EMPALME DE FIBRA ÓPTICA DE 96,FIBERHOME,FNA300001-96-GJ,0,,,
S0014,,CIERRE,CIERRE DE EMPALME HORIZONTAL 48 FIBRAS SERIEL,FUSION GUARD,FCLO-P-HO-I-48,-2,,,
S0015,,JUEGO BÁSICO,"JUEGO BÁSICO 2178-S FIBRA OPTICA, ME-9001-0035-0",,1028772,0,,,
S0016,AREA EX4,ODF,"DISTRIBUIDOR DE FIBRA OPTICA, ODF 48 HILOS",LINKEDPRO,LPODF8048,0,,,
S0017,AREA A,CONECTOR,CONECTORES VERDES PARA FIBRA OPTICA,CROSSOP+,,1429,740,,
S0018,,ACOPLADOR,"CONECTOR ACOPLADOR DE FIBRA OPTICA, COLOR VERDE",LINKEDPRO,LPFOAD6077,0,,,
S0019,,SPLITTER,"DIVISOR DE FIBRA FUNDIDA, 5/95",OPTICTIMES,FBT01-2-95/5,0,,,
S0020,AREA H,DIVISOR OPTICO,"DIVISOR OPTICO 1X16 SC/APC, COLORES",FIBERHOME,PLC116SCAPC,7,3,,
S0021,AREA B,SPLITTER,DIVISOR OPTICO 1X2 5/95 SIN CONECTORES,FIBERHOME,SSCA1X213105/9502.4X251M,4,3,,
S0022,AREA B,SPLITTER,DIVISOR OPTICO 1X2 20/80 SIN CONECTORES,FIBERHOME,SSCA1X2131020/8002.4X251M,3,4,,
S0023,AREA B,SPLITTER,DIVISOR OPTICO 1X2 30/70 SIN CONECTORES,FIBERHOME,SSCA1X2131030/7002.4X251M,10,,,
S0024,AREA B,SPLITTER,DIVISOR OPTICO 1X2131025/7502.4X251M,FIBERHOME,SSCA1X2131025/7502.4X251M,10,,,
S0025,AREA B,SPLITTER,DIVISOR OPTICO 1X2 10/90 SIN CONECTORES,FIBERHOME,SSCA1X2131010/9002.4X251M,4,,,
S0026,AREA G,ENFRIADOR,ENFRIADOR DE ALMOHADILLA,ICE COREL,,1,,,
S0027,AREA EX3,CAJON DE CONECCIÓN,"CAJON DE CONECCIÓN, ELECTRICO",N/A,CACO,5,,,
S0028,AREA A,INTERFACE,"INTERFACE DE URGENCIA PARA PLANTA CON GENERADOR ELECTRICO, GABINETE EN LAMINA DE ACERO AL CRBON, PINTURA COLOR NEGRO, ADAPTABLE EN RACK 19""",EPCOM,PETRANSFER,1,,,
S0029,AREA EX4,CAJA DE DISTRIBUCIÓN,"CAJA DE DISTRIBUCIÓN DE 144 HILOS, ",FIBERHOME,GJS2019,1,,,
S0030,,RADIO ESTACION,RADIO ESTACION BASE AIRMAX AC GFN2 BAST,UBIQUITINETWORKS,RP5ACGEN2,0,,,
S0031,,FLEJADOR,"FLEJADOR MANUAL, PARA FLEJE DE ACERO INOXIDABLE",TELENCO LATAM,WPZJ64253,0,,,
S0032,AREA A ,ROUTEADOR,"TP-LINK, MODEM PARA RED INALAMBRICA, 300 MBPS WIRELES, ANTENA",TP-LINK,TLWR850N,26,,,
S0033,AREA B,CABLE,CABLE DE ATERRIZAJE RACK / VERDE-AMARILLO,,9493,1,,,
S0034,AREA B,JUMPER,JUMPER 2 METROS PARA CONEXIÓN DIRECTA,UBIQUITINETWORKS,UDC2,2,,,
S0035,AREA G,CINCHO,CINCHO PLASTICO DE 30 CM. ,,,10,,,
S0036,AREA B,CABLE UTP,"CABLE UTP/ AMARILLO, UTP 4/126 CAT5E",OPTRONICS,,5,,,
S0037,AREA BAJ,CAJA NAP,CAJA NAP 24 FUSIONES,FIBERHOME,GFS8G,-60,,,
S0038,AREA B,JUMPER,"JUMPER OPTICAL PATCH CORD, SC/APC-SC/APC SM, 2.0MM-3M, CABLE AMARILLO/CONECTOR VERDE",VARIOS,JUP-SC-SC,-35,92,,
S0039,AREA B,JUMPER,"JUMPER OPT.F.O SC/UPC, SC/APC 2M, CABLE BLANCO, CONECTORAZUL/VERDE",VARIOS,ASC/USC,-242,57,,
S0040,AREA A,DIVISOR,"DIVISOR 1:8 PLC SPLITTER, CABLE AMARILLO",NA,NA,7,,,
S0041,,SWITCH,"ROUTER MIKROTIK HP AC2, 5 PUERTOS GIGABIT ETHERNET, 1 PUERTO USB",MIKROTIK,RBD52G,1,Se coloca atrás del lugar del ing. Cesar,,
S0042,,,,FIBERHOME,,,9,,
S0043,,CONECTOR,"CONECTOR DE FIBRA OPTICA, VERDE",S/M,S/M,-430,,,
S0044,,ROUTEADOR,"TERMINAL DE RED ÓPTICA (ONT), ALIMENTACIÓN 12VCC/ 1-5A",ZYXEL,PMG5617-T20B,0,,,
S0045,,ROUTEADOR,"MODEM PARA FIBRA OPTICA, ALIMENTACIÓN 12VCC/1A, ONT DUAL BAND 7962V1",PING COMUNICATION,7962V1,0,,,
S0046,,ROUTEADOR,"ROUTER ECHOLIFE HG8145V5.6 PON TERMINAL/ SC/APC, PN 5008471",HUAWEI,HG8145V5,-5,,,
S0047,,ROUTEADOR,MODEM PARA INSTALACIONES QUE SE REALIZAN EN PAGOS 245H,HUAWEI,HG8145V5,-2,,,
S0048,AREA C,ROUTEADOR,"ROUTER ECHOLIFE HG8245H, GPON TERMINAL SC/APC, CONSUMO DE ENERGIA S.1834 WH",HUAWEI,ECHOLIFE HG8245H,0,,,
