CODIGO,UBICACION,PRODUCTO,DESCRIPCION,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO,,,,,,,,,
S0001,AREA B,CABLE PATCH,"Cable de parcheo UTP Categoría 6, con plug modular en cada extremo - 6 m. - Rojo",PANDUIT,NK6PC20RDY,4,,,,,,,,,,,,
S0002,AREA B,CABLE UTP,"CABLE UTP, CAT 5E UTP RJ45 TO RJ45, PATCH CORD CAT 5E/ CLASS D, COLOR ROJO",PANDUIT,NK5EPC20RDY,8,3,,,,,,,,,,,
S0003,AREA B,CABLE UTP,"Cable de parcheo UTP Categoría 5e, con plug modular en cada extremo - 1 m. - Azul",PANDUIT,NK5EPC3BUY,6,,,,,,,,,,,,
S0004,AREA B,CABLE UTP,"CABLE UTP, CAT 5E UTP RJ45 TO RJ45, PATCH CORD CAT 5E/ CLASS D, COLOR BLANCO",PANDUIT,NK5EPC3Y,1,,,,,,,,,,,,
S0005,AREA P1,ROUTER,"MODEM ECHOLIFE HG824SWS-6T, GPON, TERMINAL SC/APC",HUAWEI,ECHOLIFEHG8245W5-6T,8,5,,,,,,,,,,,
S0006,AREA B,CINCHO,CINCHO NEGRO / BRIDA PARA CABLES DE ACERO INOXIDABLE,OPTICTIMES,JJ-SST01,-93,,,,,,,,,,,,
S0007,AREA B,MUÑEQUERA,"MUÑEQUERA ANTIESTATICA, COLOR AZUL",CANMAX,19-280500,2,,,,,,,,,,,,
S0008,AREA A,QUIDWAY,LAYER 3 ETHERNET SWITCH,HUAWEI,S3300,-4,,,,,,,,,,,,
S0009,,DISTRIBUIDOR DE FIBRA OPTICA,DISTRIBUIDOR DE FIBRA OPTICA 8002,LINKEDPRO,LPODF8002,7,,,,,,,,,,,,
S0010,AREA A,JUMPER,"KIT 12 PIGTAILS SC/APC SM G657A2, 2 m.",LINKEDPRO,LPFOSMPIG12SCA,2,9,,,,,,,,,,,
S0011,AREA B,ADAPTADOR,ADAPTADOR DVI-I A VGA,STEREN,500-900,1,,,,,,,,,,,,
S0012,AREA E,CIERRE,Cierre horizontal de gran capacidad para albergar hasta 96 empalmes en 4 charolas de 24 empalmes cada una. Modelo con 4 puertos de entrada/salida de cable y sellado con goma de silicona vulcanizada para una operación más sencilla y práctica pero sin comprometer la protección de las fibras. Amplia gama de aplicaciones.,FUSION GUARD,FCLO-P-HO-96,0,,,,,,,,,,,,
S0013,,CIERRE,CIERRE DE EMPALME DE FIBRA ÓPTICA DE 96,FIBERHOME,FNA300001-96-GJ,0,,,,,,,,,,,,
S0014,,CIERRE,CIERRE DE EMPALME HORIZONTAL 48 FIBRAS SERIEL,FUSION GUARD,FCLO-P-HO-I-48,-2,,,,,,,,,,,,
S0015,,JUEGO BÁSICO,"JUEGO BÁSICO 2178-S FIBRA OPTICA, ME-9001-0035-0",,1028772,0,,,,,,,,,,,,
